,county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,square_footage,location,latitude,longitude
4893,Erie,723545,Store,A     ,14TH STREET CORNER MART INC      ,14TH STREET CORNER MART,294,VERMONT ST                   ,BUFFALO,NY,14213,900,"294 vermont st buffalo, ny 14213 42.907995, -78.888062",42.907995,-78.888062
4895,Erie,729653,Store,JAC   ,OBAID ANMAR A                    ,50 50 EXPRESS MART,3209,BAILEY AVE                  ,BUFFALO,NY,14215,1800,"3209 bailey ave buffalo, ny 14215 42.942128, -78.813657",42.942128,-78.813657
4896,Erie,718881,Store,JAC   ,716 FOOD MART LLC                ,716 FOOD MART,389,FILMORE AVE                  ,BUFFALO,NY,14206,3000,"389 filmore ave buffalo, ny 14206 42.883813, -78.839226",42.883813,-78.839226
4902,Erie,142951,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35127,398,DINGENS ST               ,BUFFALO,NY,14206,3000,"398 dingens st buffalo, ny 14206 42.877731, -78.800948",42.877731,-78.800948
4903,Erie,142950,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35128,975,ABBOTT RD                ,BUFFALO,NY,14220,3000,"975 abbott rd buffalo, ny 14220 42.837846, -78.807441",42.837846,-78.807441
4904,Erie,143012,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35129,1650,KENSINGTON AVE          ,CHEEKTOWAGA,NY,14225,3500,"1650 kensington ave cheektowaga, ny 14225 42.945148, -78.795961",42.945148,-78.795961
4905,Erie,143019,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35130,1095,LOVEJOY ST              ,BUFFALO,NY,14206,3000,"1095 lovejoy st buffalo, ny 14206 42.889749, -78.807809",42.889749,-78.807809
4906,Erie,142981,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35131,1971,S PARK AVE              ,BUFFALO,NY,14220,3660,"1971 s park ave buffalo, ny 14220 42.845121, -78.823721",42.845121,-78.823721
4907,Erie,143009,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35132,2406,S PARK AVE              ,BUFFALO,NY,14220,5200,"2406 s park ave buffalo, ny 14220 42.833156, -78.823889",42.833156,-78.823889
4909,Erie,143011,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35135,3428,BAILEY AVE              ,BUFFALO,NY,14215,1500,"3428 bailey ave buffalo, ny 14215 42.94823, -78.813689",42.94823,-78.813689
